Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,RJ Barrett,SG,23,NYK,14,14,29.3,6.3,14.9,0.421,2,5.1,0.389,4.3,9.8,0.438,0.488,4,4.8,0.836,0.5,3.1,3.6,2.7,0.5,0.2,2,1.6,18.6
30,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3
31,Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,0.267,0.4,1.7,0.25,0.1,0.4,0.333,0.367,0.1,0.3,0.5,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7
32,Keita Bates-Diop,SF,28,PHO,17,7,19.5,2.1,4.9,0.417,0.5,1.9,0.281,1.5,3.1,0.5,0.47,1.4,1.8,0.767,1.1,2.4,3.4,0.9,0.7,0.8,0.2,1.1,6
33,Nicolas Batum,PF,35,TOT,13,7,23.7,2.1,3.7,0.563,1.5,3,0.513,0.5,0.7,0.778,0.771,0.2,0.3,0.75,0.9,2.8,3.7,1.6,0.7,0.8,0.5,2.1,5.9
33,Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
33,Nicolas Batum,PF,35,PHI,10,7,25.4,2.4,4,0.6,1.8,3.2,0.563,0.6,0.8,0.75,0.825,0.3,0.4,0.75,1.2,2.9,4.1,1.6,0.6,0.7,0.6,2.2,6.9
34,Bradley Beal,SG,30,PHO,3,3,28.7,6,15.3,0.391,1.7,5,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1,4.3,5.3,3.7,0.7,0.3,3,3,17.3
35,Malik Beasley,SG,27,MIL,20,20,29.2,4.3,8.9,0.48,2.9,6.5,0.45,1.4,2.4,0.563,0.644,0.4,0.6,0.667,0.6,3.9,4.5,1.5,1,0.2,0.8,2,11.8
36,MarJon Beauchamp,SF,23,MIL,16,0,16.2,2,4.4,0.451,0.9,2.1,0.412,1.1,2.3,0.486,0.549,0.5,0.8,0.667,0.6,1.8,2.4,1,0.3,0.2,0.7,1.9,5.4
